Date,Symbol,Company Name
"Dec 7, 2022",HTPA,Highland Transcend Partners I Corp
"Dec 7, 2022",FSSI,Fortistar Sustainable Solutions Corp
"Dec 6, 2022",RACB,Research Alliance Corp Ii
"Dec 5, 2022",SWCH,Switch Inc
"Dec 1, 2022",ACII,Atlas Crest Investment Corp Ii
"Nov 30, 2022",TSIB,Tishman Speyer Innovation Corp Ii
"Nov 30, 2022",RCOR,Renovacor Inc
"Nov 30, 2022",FBC,Flagstar Bancorp Inc
"Nov 30, 2022",AKUS,Akouos Inc
"Nov 30, 2022",AGTC,Applied Genetic Technologies Corp
"Nov 29, 2022",SBII,Sandbridge X2 Corp
"Nov 29, 2022",PHIC,Population Health Investment Co Inc
"Nov 29, 2022",PBFX,Pbf Logistics Lp
"Nov 29, 2022",EQOSQ,Eqonex Ltd.
"Nov 25, 2022",RADA,Rada Electronic Industries Ltd.
"Nov 21, 2022",ZEN,Zendesk Inc
"Nov 21, 2022",CLR,Continental Resources Inc
"Nov 18, 2022",THCA,Tuscan Holdings Corp Ii
"Nov 18, 2022",AERI,Aerie Pharmaceuticals Inc
"Nov 17, 2022",FSRDQ,Fast Radius Inc
"Nov 16, 2022",TEN,Tenneco Inc
"Nov 15, 2022",MITO,Stealth Biotherapeutics Corp
"Nov 15, 2022",LOGC,Logicbio Therapeutics Inc
"Nov 14, 2022",SWT,Stanley Black & Decker Inc
"Nov 14, 2022",ECOM,Channeladvisor Corp
"Nov 10, 2022",STZ.B,Constellation Brands Inc
"Nov 10, 2022",AXHI,Industrial Human Capital Inc
"Nov 9, 2022",ZVOI,Zovio Inc
"Nov 8, 2022",QNGYQ,Quanergy Systems Inc
"Nov 8, 2022",QNGWQ,Quanergy Systems Inc
"Nov 7, 2022",FHSEY,First High-school Education Group Co Ltd.
"Nov 4, 2022",IS,Ironsource Ltd.
"Nov 4, 2022",FNHC,Fednat Holding Co.
"Nov 3, 2022",STON,Stonemor Inc
"Nov 3, 2022",CYBE,Cyberoptics Corp
"Nov 2, 2022",PHASQ,Phasebio Pharmaceuticals Inc
"Oct 31, 2022",USWS,Us Well Services Inc
"Oct 31, 2022",SRLP,Sprague Resources Lp
"Oct 31, 2022",DTP,Dte Energy Co.
"Oct 28, 2022",PZN,Pzena Investment Management Inc
"Oct 27, 2022",TWTR,Twitter Inc
"Oct 24, 2022",BKGM,Bankguam Holding Co.
"Oct 24, 2022",ALFIQ,Alfi Inc
"Oct 21, 2022",RJZ,Swedish Expt Cr Corp
"Oct 21, 2022",RJI,Swedish Expt Cr Corp
"Oct 20, 2022",REVRQ,Revlon Inc
"Oct 20, 2022",MN,Manning & Napier Inc
"Oct 20, 2022",IWSY,Imageware Systems Inc
"Oct 19, 2022",CCXI,Chemocentryx Inc
"Oct 18, 2022",ZY,Zymergen Inc
"Oct 18, 2022",Y,Alleghany Corp
"Oct 18, 2022",SHLX,Shell Midstream Partners Lp
"Oct 18, 2022",AVLR,Avalara Inc
"Oct 17, 2022",PING,Ping Identity Holding Corp
"Oct 14, 2022",RMO,Romeo Power Inc
"Oct 13, 2022",TGA,Transglobe Energy Corp
"Oct 13, 2022",FMTX,Forma Therapeutics Holdings Inc
"Oct 12, 2022",EXTN,Exterran Corp
"Oct 12, 2022",CVET,Covetrus Inc
"Oct 11, 2022",TMX,Terminix Global Holdings Inc
"Oct 10, 2022",NLSN,Nielsen Holdings PLC
"Oct 7, 2022",TPGY,Tpg Pace Beneficial Finance Corp
"Oct 7, 2022",RNDB,Randolph Bancorp Inc
"Oct 6, 2022",IEA,Infrastructure & Energy Alternatives Inc
"Oct 6, 2022",GAMI,Gamco Investors Inc Et Al
"Oct 6, 2022",CNVY,Convey Health Solutions Holdings Inc
"Oct 5, 2022",VYGG,Vy Global Growth
"Oct 5, 2022",BRG,Bluerock Residential Growth Reit Inc
"Oct 4, 2022",GBT,Global Blood Therapeutics Inc
"Oct 3, 2022",CHNG,Change Healthcare Inc
"Sep 30, 2022",HNGR,Hanger Inc
"Sep 30, 2022",DRE,Duke Realty Corp
"Sep 30, 2022",ABTX,Allegiance Bancshares Inc
"Sep 29, 2022",ZEAL,Zealand Pharma A
"Sep 29, 2022",CTXS,Citrix Systems Inc
"Sep 27, 2022",BBQ,Bbq Holdings Inc
"Sep 26, 2022",GCP,Gcp Applied Technologies Inc
"Sep 26, 2022",CO,Global Cord Blood Corp
"Sep 22, 2022",MOHOY,Ecmoho Ltd.
"Sep 22, 2022",HMLP,Hoegh Lng Partners Lp
"Sep 16, 2022",TYME,Tyme Technologies Inc
"Sep 15, 2022",HLG,Hailiang Education Group Inc
"Sep 14, 2022",USAK,Usa Truck Inc
"Sep 13, 2022",MANT,Mantech International Corp
"Sep 12, 2022",HMTV,Hemisphere Media Group Inc
"Sep 9, 2022",MNDT,Mandiant Inc
"Sep 9, 2022",ALJJ,Alj Regional Holdings Inc
"Sep 8, 2022",SNPTY,China Petroleum & Chemical Corp
"Sep 8, 2022",PTRCY,Petrochina Co Ltd.
"Sep 7, 2022",NBEVQ,Newage Inc
"Sep 7, 2022",ALNAQ,Allena Pharmaceuticals Inc
"Sep 6, 2022",MKDTY,Molecular Data Inc
"Sep 6, 2022",CRTD,Creatd Inc
"Sep 6, 2022",AXU,Alexco Resource Corp
"Sep 2, 2022",SHIIY,Sinopec Shanghai Petrochemical Co Ltd.
"Sep 1, 2022",LFCHY,China Life Insurance Co Ltd.
"Sep 1, 2022",ACHHY,Aluminum Corp Of China Ltd.
"Aug 31, 2022",CTEK,Cynergistek Inc
"Aug 31, 2022",AUTO,Autoweb Inc
"Aug 31, 2022",ACKIT,Ackrell Spac Partners I Co.
"Aug 30, 2022",CRXWQ,Clarus Therapeutics Holdings Inc
"Aug 30, 2022",CRXTQ,Clarus Therapeutics Holdings Inc
"Aug 26, 2022",UBOH,United Bancshares Inc
"Aug 26, 2022",POLY,Plantronics Inc
"Aug 25, 2022",ENDPQ,Endo International PLC
"Aug 24, 2022",TUFN,Tufin Software Technologies Ltd.
"Aug 24, 2022",LMPX,Lmp Automotive Holdings Inc
"Aug 23, 2022",RTLR,Rattler Midstream Lp
"Aug 22, 2022",SMED,Sharps Compliance Corp
"Aug 19, 2022",LJPC,La Jolla Pharmaceutical Co.
"Aug 17, 2022",BKEP,Blueknight Energy Partners Lp
"Aug 16, 2022",TPTX,Turning Point Therapeutics Inc
"Aug 16, 2022",ATC,Atotech Ltd.
"Aug 15, 2022",SAIL,Sailpoint Technologies Holdings Inc
"Aug 12, 2022",RDUS,Radius Health Inc
"Aug 12, 2022",NSR,Nomad Royalty Co Ltd.
"Aug 12, 2022",LEAP,Ribbit Leap Ltd.
"Aug 12, 2022",BLCT,Bluecity Holdings Ltd.
"Aug 11, 2022",RDBX,Redbox Entertainment Inc
"Aug 11, 2022",GSV,Gold Standard Ventures Corp
"Aug 11, 2022",EPZM,Epizyme Inc
"Aug 10, 2022",EVFM,Evofem Biosciences Inc
"Aug 9, 2022",ACC,American Campus Communities Inc
"Aug 8, 2022",OBCI,Ocean Bio Chem Inc
"Aug 2, 2022",NPTN,Neophotonics Corp
"Aug 2, 2022",MTOR,Meritor Inc
"Aug 2, 2022",ACUR,Acura Pharmaceuticals Inc
"Jul 29, 2022",SOLN,Southern Co.
"Jul 28, 2022",WBT,Welbilt Inc
"Jul 27, 2022",MILE,Metromile Inc
"Jul 25, 2022",PSTH,Pershing Square Tontine Holdings Ltd.
"Jul 22, 2022",CNR,Cornerstone Building Brands Inc
"Jul 21, 2022",SAFM,Sanderson Farms Inc
"Jul 20, 2022",VG,Vonage Holdings Corp
"Jul 20, 2022",SREV,Servicesource International Inc
"Jul 20, 2022",NTUS,Natus Medical Inc
"Jul 20, 2022",MIC,Macquarie Infrastructure Holdings LLC
"Jul 19, 2022",PSB,Ps Business Parks Inc
"Jul 15, 2022",GSLD,Global Ship Lease Inc
"Jul 13, 2022",SAK,Saratoga Investment Corp
"Jul 13, 2022",GLSPT,Gorilla Technology Group Inc
"Jul 12, 2022",MBII,Marrone Bio Innovations Inc
"Jul 8, 2022",WSTL,Westell Technologies Inc
"Jul 8, 2022",WINR,Simplicity Esports & Gaming Co.
"Jul 8, 2022",NOVC,Novation Companies Inc
"Jul 8, 2022",JENGQ,Just Energy Group Inc
"Jul 8, 2022",ETTX,Entasis Therapeutics Holdings Inc
"Jul 8, 2022",ENJYQ,Enjoy Technology Inc
"Jul 8, 2022",DTRK,Datatrak International Inc
"Jul 8, 2022",ATRX,Adhera Therapeutics Inc
"Jul 7, 2022",TCCO,Technical Communications Corp
"Jul 7, 2022",HNPIY,Huaneng Power International Inc
"Jul 7, 2022",ANDR,Andrea Electronics Corp
"Jul 7, 2022",ABMC,American Bio Medica Corp
"Jul 6, 2022",HCYT,H-cyte Inc
"Jul 6, 2022",GTYH,Gty Technology Holdings Inc
"Jul 5, 2022",NP,Neenah Inc
"Jul 5, 2022",CDK,Cdk Global Inc
"Jul 5, 2022",CCMP,Cmc Materials Inc
"Jun 30, 2022",WLL,Whiting Petroleum Corp
"Jun 30, 2022",SRRA,Sierra Oncology Inc
"Jun 30, 2022",PCOM,Pointscom Inc
"Jun 30, 2022",PBIP,Prudential Bancorp Inc
"Jun 30, 2022",NSEC,National Security Group Inc
"Jun 30, 2022",ASNB,Ekimas Corp
"Jun 27, 2022",TVTY,Tivity Health Inc
"Jun 27, 2022",MNKKQ,Mallinckrodt PLC
"Jun 24, 2022",TREC,Trecora Resources
"Jun 24, 2022",SBSAA,Spanish Broadcasting System Inc
"Jun 24, 2022",NAUH,National American University Holdings Inc
"Jun 24, 2022",LBPS,4d Pharma PLC
"Jun 24, 2022",JPPYY,Jupai Holdings Ltd.
"Jun 24, 2022",BDRL,Blonder Tongue Laboratories Inc
"Jun 23, 2022",SIMPQ,Simply Inc
"Jun 23, 2022",APTS,Preferred Apartment Communities Inc
"Jun 22, 2022",MSP,Datto Holding Corp
"Jun 22, 2022",ELMWQ,Electric Last Mile Solutions Inc
"Jun 22, 2022",ELMSQ,Electric Last Mile Solutions Inc
"Jun 21, 2022",SUMR,Summer Infant Inc
"Jun 21, 2022",PLAN,Anaplan Inc
"Jun 21, 2022",HEWA,Healthwarehousecom Inc
"Jun 17, 2022",ENIAY,Enel Americas SA
"Jun 16, 2022",RENO,Renovare Environmental Inc
"Jun 10, 2022",ZSANQ,Zosano Pharma Corp
"Jun 10, 2022",WVFC,Wvs Financial Corp
"Jun 10, 2022",REGI,Renewable Energy Group Inc
"Jun 10, 2022",DIDIY,Didi Global Inc
"Jun 7, 2022",CERN,Cerner Corp
"Jun 3, 2022",GNCAQ,Genocea Biosciences Inc
"Jun 2, 2022",ZMENY,Zhangmen Education Inc
"Jun 2, 2022",IBAL,International Baler Corp
"May 31, 2022",TSC,Tristate Capital Holdings Inc
"May 31, 2022",DCUE,Dominion Energy Inc
"May 27, 2022",LUB,Lubys Inc
"May 27, 2022",IRCP,Irsa Propiedades Comerciales SA
"May 27, 2022",CMPI,Checkmate Pharmaceuticals Inc
"May 26, 2022",OCDX,Ortho Clinical Diagnostics Holdings PLC
"May 24, 2022",VWTR,Vidler Water Resources Inc
"May 24, 2022",IIN,Intricon Corp
"May 24, 2022",ANAT,American National Group Inc
"May 23, 2022",ZNGA,Zynga Inc
"May 23, 2022",MBT,Mobile Telesystems Public Joint Stock Co.
"May 23, 2022",ATRS,Antares Pharma Inc
"May 20, 2022",AFIIQ,Armstrong Flooring Inc
"May 19, 2022",CTKYY,Cootek(cayman)inc
"May 18, 2022",MIME,Mimecast Ltd.
"May 18, 2022",IOGPQ,Ion Geophysical Corp
"May 18, 2022",GWGHQ,Gwg Holdings Inc
"May 17, 2022",SFUNY,Fang Holdings Ltd.
"May 16, 2022",WEIDY,Weidai Ltd.
"May 13, 2022",ESBK,Elmira Savings & Loan Fa
"May 13, 2022",EPAY,Bottomline Technologies Inc
"May 12, 2022",XENT,Intersect Ent Inc
"May 6, 2022",JOBS,51job Inc
"May 6, 2022",CELPQ,Cypress Environmental Partners Lp
"May 4, 2022",GNOG,Golden Nugget Online Gaming Inc
"May 3, 2022",NEWYY,Puxin Ltd.
"May 2, 2022",HBP,Huttig Building Products Inc
"Apr 29, 2022",WTRU,Essential Utilities Inc
"Apr 29, 2022",ECOL,Us Ecology Inc
"Apr 28, 2022",MGP,Mgm Growth Properties LLC
"Apr 27, 2022",ATSPT,Soundhound Ai Inc
